Symbol,Name,YTD Return,AUM,Avg Volume
CNBS,Amplify Seymour Cannabis ETF,99.14%,"$72,978.20 ","202,022"
POTX,Global X Cannabis ETF,97.17%,"$115,429.00 ","563,994"
THCX,Cannabis ETF,85.36%,"$111,992.00 ","326,759"
MJ,ETFMG Alternative Harvest ETF,71.01%,"$1,763,400.00 ","3,210,279"
BDRY,Breakwave Dry Bulk Shipping ETF,61.43%,"$21,471.60 ","106,116"
YOLO,AdvisorShares Pure Cannabis ETF,59.24%,"$335,846.00 ","605,068"
MOON,Direxion Moonshot Innovators ETF,57.34%,"$78,027.90 ","135,473"
BLOK,Amplify Transformational Data Sharing ETF,55.75%,"$617,644.00 ","568,429"
TOKE,Cambria Cannabis ETF,55.08%,"$31,485.00 ","39,014"
PRNT,3D Printing ETF,51.99%,"$369,403.00 ","448,583"
MSOS,AdvisorShares Pure US Cannabis ETF,41.70%,"$711,907.00 ","688,667"
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,40.56%,"$3,485.95 ","2,375"
GERM,ETFMG Treatments Testing and Advancements ETF,39.58%,"$64,423.60 ","45,025"
PSCE,Invesco S&P SmallCap Energy ETF,38.72%,"$40,955.10 ","213,363"
GLRY,Inspire Faithward Mid Cap Momentum ESG ETF,34.12%,N/A,N/A
CNRG,SPDR S&P Kensho Clean Power ETF,33.51%,"$410,227.00 ","75,343"
KWEB,KraneShares CSI China Internet ETF,33.09%,"$4,420,870.00 ","1,613,981"
PXI,Invesco DWA Energy Momentum ETF,33.09%,"$37,102.00 ","37,781"
FCG,First Trust ISE-Revere Natural Gas Index Fund,31.86%,"$129,927.00 ","961,124"
PGJ,Invesco Golden Dragon China ETF,31.42%,"$305,087.00 ","28,500"
MJJ,Indxx MicroSectors Cannabis ETN,31.26%,"$51,542.00 ",700
KOMP,SPDR S&P Kensho New Economies Composite ETF,30.92%,"$2,178,090.00 ","262,302"
GXTG,Global X Thematic Growth ETF,30.64%,"$72,811.20 ","31,132"
PXE,Invesco Dynamic Energy Exploration & Production ETF,30.28%,"$19,941.60 ","19,352"
ARKQ,ARK Industrial Innovation ETF,30.03%,"$3,320,980.00 ","1,099,660"
GIGE,SoFi Gig Economy ETF,29.99%,"$38,604.10 ","26,843"
CQQQ,Invesco China Technology ETF,29.95%,"$1,738,930.00 ","253,671"
ECNS,iShares MSCI China Small-Cap ETF,29.47%,"$78,652.60 ","28,252"
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,29.28%,"$2,674,420.00 ","8,343,997"
CHIC,Global X MSCI China Communication Services ETF,29.03%,"$18,850.70 ","5,370"
REMX,VanEck Vectors Rare Earth/Strategic Metals ETF,28.94%,"$499,263.00 ","248,419"
NERD,Roundhill BITKRAFT Esports & Digital Entertainment ETF,28.67%,"$99,529.30 ","63,762"
PBW,Invesco WilderHill Clean Energy ETF,28.51%,"$3,406,610.00 ","827,913"
QMOM,MomentumShares U.S. Quantitative Momentum ETF,28.11%,"$121,220.00 ","15,735"
ARKW,ARK Next Generation Internet ETF,28.09%,"$7,435,460.00 ","1,393,592"
IZRL,ARK Israel Innovative Technology ETF,27.96%,"$185,668.00 ","231,208"
IWC,iShares Microcap ETF,27.89%,"$1,172,360.00 ","74,116"
IRBO,iShares Robotics and Artificial Intelligence ETF,27.48%,"$378,259.00 ","98,200"
HAIL,SPDR S&P Smart Mobility ETF,27.20%,"$213,977.00 ","111,011"
CTEC,Global X CleanTech ETF,26.89%,"$188,149.00 ","174,087"
LOUP,Innovator Loup Frontier Tech ETF,26.83%,"$79,352.10 ","31,979"
EWEB,Global X Emerging Markets Internet & E-commerce ETF,26.14%,"$6,567.01 ","18,370"
EMQQ,Emerging Markets Internet & Ecommerce ETF,26.09%,"$1,947,540.00 ","334,210"
FRAK,VanEck Vectors Unconventional Oil & Gas ETF,25.90%,"$12,848.80 ","1,537"
ARKK,ARK Innovation ETF,25.78%,"$24,846,000.00 ","5,894,411"
ARKF,ARK Fintech Innovation ETF,25.77%,"$3,058,840.00 ","1,976,160"
MRAD,SmartETFs Advertising & Marketing Technology ETF,25.71%,N/A,N/A
FNI,First Trust ISE Chindia Index Fund,25.60%,"$325,555.00 ","43,102"
DWAS,Invesco DWA SmallCap Momentum ETF,25.51%,"$504,004.00 ","68,114"
UFO,Procure Space ETF,25.46%,"$94,385.20 ","111,105"
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,25.36%,"$82,466.20 ","15,210"
CHNA,Loncar China BioPharma ETF,25.30%,"$15,108.80 ","4,887"
SOCL,Global X Social Media Index ETF,25.22%,"$374,865.00 ","67,327"
RZG,Invesco S&P SmallCap 600® Pure Growth ETF,25.19%,"$139,154.00 ","4,244"
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,25.00%,"$35,612.90 ","8,879"
GRN,iPath Series B Carbon ETN,24.54%,"$9,928.06 ","1,340"
XRT,SPDR S&P Retail ETF,24.39%,"$515,411.00 ","4,439,232"
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,23.91%,"$3,194,740.00 ","922,008"
VFIN,Simplify Volt Fintech Disruption ETF,23.88%,"$3,652.07 ",N/A
XWEB,SPDR S&P Internet ETF,23.87%,"$84,026.40 ","5,513"
SPCX,The SPAC and New Issue ETF,23.62%,"$141,215.00 ",N/A
URNM,North Shore Global Uranium Mining ETF,23.54%,"$63,448.90 ","48,232"
FDNI,First Trust Dow Jones International Internet ETF,23.50%,"$129,720.00 ","37,941"
CHIH,Global X MSCI China Health Care ETF,23.42%,"$17,036.60 ","10,541"
LEND,Amplify CrowdBureau Online Lending and Digital Banking ETF,23.40%,$788.82 ,"1,592"
FTXN,First Trust Nasdaq Oil & Gas ETF,23.39%,"$22,309.50 ","15,886"
FYC,First Trust Small Cap Growth AlphaDEX Fund,23.05%,"$370,868.00 ","73,905"
PTF,Invesco DWA Technology Momentum ETF,22.97%,"$397,031.00 ","29,121"
BETZ,Roundhill Sports Betting & iGaming ETF,22.79%,"$346,555.00 ","343,540"
RWJ,Invesco S&P SmallCap 600 Revenue ETF,22.67%,"$328,197.00 ","38,116"
OILK,ProShares K-1 Free Crude Oil Strategy ETF,22.65%,"$66,912.50 ","21,311"
SYLD,Cambria Shareholder Yield ETF,22.51%,"$104,600.00 ","13,535"
CHB,Global X China Biotech Innovation ETF,22.45%,"$3,718.22 ","6,430"
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,22.38%,"$188,851.00 ","140,959"
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,22.35%,"$936,715.00 ","204,665"
ACES,ALPS Clean Energy ETF,22.27%,"$1,146,240.00 ","172,970"
BFTR,BlackRock Future Innovators ETF,22.23%,"$11,964.90 ","8,035"
CBTG,Cabot Growth ETF,22.08%,"$30,579.50 ",N/A
ERSX,ERShares NextGen Entrepreneurs ETF,22.08%,"$46,147.50 ","6,410"
ONLN,ProShares Online Retail ETF,21.98%,"$1,265,460.00 ","174,375"
XITK,SPDR FactSet Innovative Technology ETF,21.88%,"$424,047.00 ","25,795"
IBUY,Amplify Online Retail ETF,21.70%,"$1,750,110.00 ","236,432"
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,21.61%,"$82,544.00 ","19,903"
BUYZ,Franklin Disruptive Commerce ETF,21.60%,"$45,376.00 ","17,903"
CALF,Pacer US Small Cap Cash Cows 100 ETF,21.56%,"$105,690.00 ","46,529"
CHIL,Global X MSCI China Large-Cap 50 ETF,21.49%,"$11,118.90 ","3,960"
IDIV,US Equity Cumulative Dividends Fund-Series 2027,21.49%,"$21,577.70 ","6,286"
WUGI,Esoterica NextG Economy ETF,21.48%,"$48,777.50 ","18,071"
DBO,Invesco DB Oil Fund,21.35%,"$497,102.00 ","837,041"
ENTR,ERShares Entrepreneurs ETF,21.17%,"$161,448.00 ","15,425"
BNO,United States Brent Oil Fund,21.12%,"$364,350.00 ","709,711"
KGRN,KraneShares MSCI China Environment ETF,21.11%,"$166,705.00 ","97,898"
PSI,Invesco Dynamic Semiconductors ETF,21.10%,"$472,753.00 ","46,875"
CHIM,Global X MSCI China Materials ETF,21.09%,"$3,641.50 ","3,532"
CHIQ,Global X MSCI China Consumer Discretionary ETF,20.99%,"$677,190.00 ","490,530"
USO,United States Oil Fund,20.99%,"$3,331,260.00 ","5,189,011"
FDM,First Trust Dow Jones Select MicroCap Index Fund,20.89%,"$133,439.00 ","13,997"
MGMT,Ballast Small/Mid Cap ETF,20.87%,"$4,380.00 ",N/A
CBSE,Changebridge Capital Sustainable Equity ETF,20.85%,"$5,490.30 ",N/A
OIL,iPath Pure Beta Crude Oil ETN,20.84%,"$41,571.90 ","16,530"
