Symbol,Name,Avg Volume,AUM
SPY,SPDR S&P 500 ETF,"63,783,816","$324,689,000.00 "
UVXY,ProShares Ultra VIX Short-Term Futures,"61,703,699","$1,804,790.00 "
SQQQ,ProShares UltraPro Short QQQ,"53,158,492","$1,647,440.00 "
XLF,Financial Select Sector SPDR Fund,"50,814,578","$29,528,100.00 "
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,"44,280,648","$1,212,770.00 "
EEM,iShares MSCI Emerging Markets ETF,"40,983,441","$30,533,900.00 "
SLV,iShares Silver Trust,"37,676,625","$17,670,300.00 "
TQQQ,ProShares UltraPro QQQ,"34,794,402","$10,745,100.00 "
XLE,Energy Select Sector SPDR Fund,"32,754,838","$16,730,000.00 "
TZA,Direxion Daily Small Cap Bear 3X Shares,"30,343,844","$376,108.00 "
QQQ,Invesco QQQ,"28,280,547","$155,661,000.00 "
EWZ,iShares MSCI Brazil ETF,"27,043,258","$6,375,730.00 "
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"26,780,725","$23,664,500.00 "
IWM,iShares Russell 2000 ETF,"26,326,641","$62,828,900.00 "
GDX,VanEck Vectors Gold Miners ETF,"23,919,768","$15,231,600.00 "
IAU,iShares Gold Trust,"20,373,709","$31,021,100.00 "
EFA,iShares MSCI EAFE ETF,"20,370,740","$53,218,300.00 "
FXI,iShares China Large-Cap ETF,"13,986,348","$4,313,000.00 "
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"12,684,271","$50,517,200.00 "
IEMG,iShares Core MSCI Emerging Markets ETF,"11,871,396","$77,291,100.00 "
XLU,Utilities Select Sector SPDR Fund,"11,257,875","$11,996,100.00 "
XLI,Industrial Select Sector SPDR Fund,"10,437,478","$15,980,100.00 "
VWO,Vanguard FTSE Emerging Markets ETF,"10,338,843","$77,408,000.00 "
SDS,ProShares UltraShort S&P 500,"10,154,357","$736,252.00 "
TLT,iShares 20+ Year Treasury Bond ETF,"9,858,922","$16,300,700.00 "
XLP,Consumer Staples Select Sector SPDR Fund,"9,441,541","$11,405,600.00 "
SH,ProShares Short S&P 500,"9,297,668","$1,861,560.00 "
GLD,SPDR Gold Trust,"9,206,381","$68,417,400.00 "
SDOW,ProShares UltraPro Short Dow30,"9,185,252","$498,824.00 "
VEA,Vanguard FTSE Developed Markets ETF,"8,694,690","$90,158,800.00 "
IEFA,iShares Core MSCI EAFE ETF,"8,449,046","$85,061,400.00 "
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,"8,343,997","$2,674,420.00 "
KRE,SPDR S&P Regional Banking ETF,"7,910,121","$2,941,350.00 "
XLV,Health Care Select Sector SPDR Fund,"7,906,071","$25,010,400.00 "
TNA,Direxion Daily Small Cap Bull 3X Shares,"7,775,519","$1,553,420.00 "
BKLN,Invesco Senior Loan ETF,"7,712,967","$5,623,920.00 "
GDXJ,VanEck Vectors Junior Gold Miners ETF,"7,375,958","$5,615,600.00 "
ICLN,iShares Global Clean Energy ETF,"7,173,681","$6,947,730.00 "
EWJ,iShares MSCI Japan ETF,"6,695,316","$13,619,300.00 "
JNK,SPDR Barclays High Yield Bond ETF,"6,694,332","$11,233,600.00 "
XLK,Technology Select Sector SPDR Fund,"6,453,125","$38,627,200.00 "
VIXY,ProShares VIX Short-Term Futures ETF,"6,334,432","$367,151.00 "
GOVT,iShares U.S. Treasury Bond ETF,"6,152,338","$14,843,700.00 "
XLB,Materials Select Sector SPDR ETF,"6,094,984","$6,544,490.00 "
ARKK,ARK Innovation ETF,"5,894,411","$24,846,000.00 "
IYR,iShares U.S. Real Estate ETF,"5,760,257","$4,847,000.00 "
SPXL,Direxion Daily S&P 500 Bull 3X Shares,"5,755,029","$1,674,060.00 "
AGG,iShares Core U.S. Aggregate Bond ETF,"5,707,038","$86,178,100.00 "
UNG,United States Natural Gas Fund,"5,689,152","$354,372.00 "
JETS,U.S. Global Jets ETF,"5,672,501","$2,948,230.00 "
PFF,iShares Preferred and Income Securities ETF,"5,318,406","$18,883,800.00 "
ERX,Direxion Daily Energy Bull 2X Shares,"5,261,908","$507,990.00 "
USO,United States Oil Fund,"5,189,011","$3,331,260.00 "
BND,Vanguard Total Bond Market ETF,"5,148,662","$70,419,800.00 "
IEF,iShares 7-10 Year Treasury Bond ETF,"5,131,384","$13,961,600.00 "
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,"5,014,460","$85,629.30 "
EWH,iShares MSCI Hong Kong ETF,"4,959,349","$1,508,290.00 "
RSX,VanEck Vectors Russia ETF,"4,891,876","$1,656,290.00 "
XBI,SPDR S&P Biotech ETF,"4,853,635","$8,465,680.00 "
SPXU,ProShares UltraPro Short S&P 500,"4,822,009","$657,060.00 "
ARKG,ARK Genomic Revolution ETF,"4,794,238","$11,614,700.00 "
IJR,iShares Core S&P Small-Cap ETF,"4,730,325","$61,679,500.00 "
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,"4,554,557","$3,846,710.00 "
VNQ,Vanguard Real Estate Index Fund,"4,549,070","$32,997,800.00 "
XRT,SPDR S&P Retail ETF,"4,439,232","$515,411.00 "
VTI,Vanguard Total Stock Market ETF,"4,122,745","$211,167,000.00 "
IVV,iShares Core S&P 500 ETF,"4,052,549","$240,572,000.00 "
SPXS,Direxion Daily S&P 500 Bear 3X Shares,"4,004,369","$509,190.00 "
EZU,iShares MSCI EMU ETF,"3,950,246","$4,904,820.00 "
USMV,iShares Edge MSCI Min Vol USA ETF,"3,933,379","$29,821,600.00 "
EWY,iShares MSCI South Korea ETF,"3,930,510","$7,953,390.00 "
UPRO,ProShares UltraPro S&P 500,"3,917,827","$1,809,610.00 "
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"3,873,294","$18,984,800.00 "
INDA,iShares MSCI India ETF,"3,864,202","$5,148,170.00 "
FNGU,MicroSectors FANG+™ Index 3X Leveraged ETN,"3,863,103","$1,542,680.00 "
EWU,iShares MSCI United Kingdom ETF,"3,843,549","$2,979,910.00 "
FAZ,Direxion Daily Financial Bear 3X Shares,"3,767,265","$181,852.00 "
EWG,iShares MSCI Germany ETF,"3,766,619","$2,569,730.00 "
MCHI,iShares MSCI China ETF,"3,719,383","$7,411,820.00 "
EWA,iShares MSCI-Australia ETF,"3,702,349","$1,742,580.00 "
PGX,Invesco Preferred ETF,"3,672,263","$6,923,480.00 "
XLRE,Real Estate Select Sector SPDR Fund,"3,624,751","$2,251,570.00 "
PSLV,The Sprott Physical Silver Trust,"3,614,159",N/A
VXUS,Vanguard Total International Stock ETF,"3,605,813","$40,738,500.00 "
VGK,Vanguard FTSE Europe ETF,"3,570,348","$14,555,900.00 "
ACWI,iShares MSCI ACWI ETF,"3,500,889","$14,758,500.00 "
AMLP,Alerian MLP ETF,"3,465,776","$4,392,980.00 "
EWT,iShares MSCI Taiwan ETF,"3,401,602","$6,340,820.00 "
DUST,Direxion Daily Gold Miners Bear 2X Shares,"3,393,838","$100,115.00 "
SCO,ProShares UltraShort Bloomberg Crude Oil,"3,389,705","$89,789.90 "
XLC,Communication Services Select Sector SPDR Fund,"3,281,587","$11,897,300.00 "
MJ,ETFMG Alternative Harvest ETF,"3,210,279","$1,763,400.00 "
DIA,SPDR Dow Jones Industrial Average ETF,"3,191,510","$25,728,400.00 "
VCSH,Vanguard Short-Term Corporate Bond ETF,"3,184,649","$37,234,200.00 "
PSQ,ProShares Short QQQ,"3,181,943","$554,040.00 "
XLY,Consumer Discretionary Select Sector SPDR Fund,"3,176,008","$19,362,700.00 "
BNDX,Vanguard Total International Bond ETF,"3,123,284","$38,495,200.00 "
ASHR,Xtrackers Harvest CSI 300 China A-Shares Fund,"3,117,579","$2,625,980.00 "
GUSH,Direxion Daily S&P Oil & Gas Exploration & Production Bull 2x Shares,"3,083,744","$567,458.00 "
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"3,058,925","$43,829,400.00 "
